Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
HDFS,HDFS-14042,16674347,https://issues.apache.org/jira/browse/HDFS-14042,1,Unknown,Unknown,Unknown
HDFS,HDFS-14070,16684680,https://issues.apache.org/jira/browse/HDFS-14070,1,Unknown,Unknown,Unknown
HDFS,HDFS-14373,16945298,https://issues.apache.org/jira/browse/HDFS-14373,1,Unknown,External Interference,Unknown
HDFS,HDFS-14661,16897202,https://issues.apache.org/jira/browse/HDFS-14661,1,Unknown,Unknown,Unknown
HDFS,HDFS-14756,16912215,https://issues.apache.org/jira/browse/HDFS-14756,1,Unknown,Unknown,Unknown
HDFS,HDFS-14838,16927343,https://issues.apache.org/jira/browse/HDFS-14838,1,Unknown,Non-reproducible,Unknown
HDFS,HDFS-14853,16933212,https://issues.apache.org/jira/browse/HDFS-14853,1,Unknown,Unknown,Unknown
HDFS,HDFS-14960,17108546,https://issues.apache.org/jira/browse/HDFS-14960,1,Unknown,External Interference,Unknown
HDFS,HDFS-15143,17023122,https://issues.apache.org/jira/browse/HDFS-15143,1,Unknown,Unknown,Unknown
HDFS,HDFS-15618,17363892,https://issues.apache.org/jira/browse/HDFS-15618,1,Unknown,Unknown,Unknown
HDFS,HDFS-3129,13236214,https://issues.apache.org/jira/browse/HDFS-3129,1,Unknown,Unknown,Unknown
HDFS,HDFS-4120,14049006,https://issues.apache.org/jira/browse/HDFS-4120,1,Unknown,Unknown,Unknown
HDFS,HDFS-4518,13588886,https://issues.apache.org/jira/browse/HDFS-4518,1,Unknown,Unknown,External Interference
HDFS,HDFS-6375,14007907,https://issues.apache.org/jira/browse/HDFS-6375,1,Unknown,Unknown,Configuration-related Issues
HDFS,HDFS-6728,14088825,https://issues.apache.org/jira/browse/HDFS-6728,1,Unknown,Unknown,Unrelated Tests
HDFS,HDFS-7201,14171757,https://issues.apache.org/jira/browse/HDFS-7201,1,Unknown,Unknown,Unknown
HDFS,HDFS-7419,14222753,https://issues.apache.org/jira/browse/HDFS-7419,1,Unknown,Environment Impact,Unknown
