dropout,f1,recall,model,iteration
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,56
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,57
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,58
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,59
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,60
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,61
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,62
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,63
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,64
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,65
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,66
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,67
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,68
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,69
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,70
2,0.0,0.0,RandomForest,2
2,1.0,1.0,PULearning,71
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,72
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,73
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,74
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,75
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,76
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,77
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,78
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,79
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,80
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,81
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,82
2,0.6666666666666666,0.5,RandomForest,20
2,1.0,1.0,PULearning,83
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,84
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,85
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,86
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,87
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,88
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,89
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,90
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,91
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,92
2,0.0,0.0,RandomForest,20
2,1.0,1.0,PULearning,93
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,94
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,95
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,96
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,97
2,0.0,0.0,RandomForest,0
2,1.0,1.0,PULearning,98
2,0.0,0.0,RandomForest,1
2,1.0,1.0,PULearning,99
2,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,0
3,0.5,0.3333333333333333,RandomForest,0
3,1.0,1.0,PULearning,1
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,2
3,0.8,0.6666666666666666,RandomForest,1
3,1.0,1.0,PULearning,3
3,0.8,0.6666666666666666,RandomForest,20
3,1.0,1.0,PULearning,4
3,0.8,0.6666666666666666,RandomForest,0
3,1.0,1.0,PULearning,5
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,6
3,0.5,0.3333333333333333,RandomForest,20
3,1.0,1.0,PULearning,7
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,8
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,9
3,0.5,0.3333333333333333,RandomForest,1
3,1.0,1.0,PULearning,10
3,0.5,0.3333333333333333,RandomForest,20
