dropout,f1,recall,model,iteration
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,50
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,51
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,52
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,53
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,54
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,55
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,56
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,57
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,58
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,59
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,60
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,61
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,62
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,63
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,64
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,65
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,66
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,67
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,68
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,69
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,70
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,71
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,72
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,73
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,74
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,75
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,76
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,77
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,78
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,79
3,0.0,0.0,RandomForest,0
3,1.0,1.0,PULearning,80
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,81
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,82
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,83
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,84
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,85
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,86
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,87
3,0.0,0.0,RandomForest,0
3,0.5,0.3333333333333333,PULearning,88
3,0.0,0.0,RandomForest,0
3,0.8,0.6666666666666666,PULearning,89
