pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
44219,https://github.com/keycloak/keycloak/pull/44219,55395613736,label,https://github.com/keycloak/keycloak/actions/runs/19361895642/job/55395613736,01a28e2d0df0d37009ef8d92cf3877d8506c581f,2025-11-14T10:34:50Z,2025-11-14T10:34:57Z,2025-11-14T10:33:05Z,vaceksimon,False,0,24,0,0.0012152777777777,False,False,0,True,2,14,1,15,False,0,0,0,0,N,No clear unrelated indicator
43842,https://github.com/keycloak/keycloak/pull/43842,54075211179,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18939604201/job/54075211179,e6b473f6edad52e567780ea7b4054b37fdae9307,2025-10-30T11:53:54Z,2025-10-30T11:53:59Z,2025-10-30T11:48:17Z,mabartos,False,0,21,0,0.0039004629629629,False,False,0,True,3,12,9,21,False,0,0,0,0,N,No clear unrelated indicator
43679,https://github.com/keycloak/keycloak/pull/43679,53478439722,External links check,https://github.com/keycloak/keycloak/actions/runs/18747556835/job/53478439722,80ce4ade0542564b26b8e4dfe724f4ededed667f,2025-10-23T11:58:42Z,2025-10-23T12:00:20Z,2025-10-23T11:58:12Z,pedroigor,False,0,11,0,0.0003472222222222,False,True,22,True,1,1,1,2,True,5,42,10,52,Q,Infrastructure job: External links check
44409,https://github.com/keycloak/keycloak/pull/44409,57574920180,Test remote (slow),https://github.com/keycloak/keycloak/actions/runs/20071452888/job/57574920180,057b2b6a97650b0438bbeadafb6aaba7202f9a2e,2025-12-09T16:57:23Z,2025-12-09T17:00:50Z,2025-11-23T03:02:38Z,dependabot[bot],False,1,10,4,16.5796875,True,False,0,True,15,83,83,166,False,0,0,0,0,Q,Disk space issue
44763,https://github.com/keycloak/keycloak/pull/44763,57515778421,Build,https://github.com/keycloak/keycloak/actions/runs/20054104842/job/57515778421,52a799d9155d377f2df572dc9ac5cad40eb78b30,2025-12-09T06:24:04Z,2025-12-09T06:25:52Z,2025-12-09T06:23:44Z,dima-bzz,False,2,10,0,0.0002314814814814,False,True,44,True,1,19,19,38,False,0,0,0,0,Q,Shared error with 44 similar failure(s)
44763,https://github.com/keycloak/keycloak/pull/44763,57515881941,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20054104809/job/57515881941,52a799d9155d377f2df572dc9ac5cad40eb78b30,2025-12-09T06:25:47Z,2025-12-09T06:25:54Z,2025-12-09T06:23:44Z,dima-bzz,False,2,10,0,0.0014236111111111,False,False,0,True,1,19,19,38,False,0,0,0,0,N,No clear unrelated indicator
44326,https://github.com/keycloak/keycloak/pull/44326,56258038094,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19503361145/job/56258038094,87e67ab1800d68c18ee446da915db6521ce1a176,2025-11-24T18:30:08Z,2025-11-24T18:30:15Z,2025-11-19T11:57:56Z,rmartinc,False,0,9,0,5.272361111111112,False,False,0,False,0,0,0,0,True,19,620,158,778,N,No clear unrelated indicator
43208,https://github.com/keycloak/keycloak/pull/43208,52001116093,Build,https://github.com/keycloak/keycloak/actions/runs/18266301998/job/52001116093,4ad31e9323ff79a287a703d11b50dca55f5a5a28,2025-10-06T00:12:57Z,2025-10-06T00:14:46Z,2025-10-06T00:12:36Z,dependabot[bot],False,1,12,0,0.0002430555555555,False,True,3,True,4,13,13,26,False,0,0,0,0,Q,Shared error with 3 similar failure(s)
40586,https://github.com/keycloak/keycloak/pull/40586,54967064606,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19230269589/job/54967064606,bbd59077a7c5aaa24e72b51e61026ecdd12f63fd,2025-11-10T11:38:23Z,2025-11-10T11:38:29Z,2025-06-18T10:33:06Z,SferaDev,False,1,22,3,145.04533564814815,False,False,0,True,3,175,0,175,True,40,5606,2,5608,Q,High CI latency (145.0 days)
44384,https://github.com/keycloak/keycloak/pull/44384,56195994874,label,https://github.com/keycloak/keycloak/actions/runs/19626398043/job/56195994874,03cd6b7cef66b03188010ef3198a62420421cfb8,2025-11-24T07:18:38Z,2025-11-24T07:18:44Z,2025-11-21T13:03:49Z,vaceksimon,False,0,9,0,2.760289351851852,False,False,0,False,0,0,0,0,True,2,4,2,6,N,No clear unrelated indicator
