pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified
44995,https://github.com/keycloak/keycloak/pull/44995,58440184486,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58440184486,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:16Z,2025-12-18T15:20:53Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11663194444444444,False,True,29,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58443189671,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58443189671,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T15:21:12Z,2025-12-18T15:21:20Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.13533564814814814,False,False,0,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58440220641,Base IT (6),https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58440220641,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:36Z,2025-12-18T15:00:26Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11686342592592593,False,False,0,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58440220708,External Infinispan IT (clusterless),https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58440220708,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:36Z,2025-12-18T15:00:31Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.11686342592592593,False,False,0,False,0,0,0,0,True,5,9,5,14
44995,https://github.com/keycloak/keycloak/pull/44995,58446156666,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58446156666,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T15:47:52Z,2025-12-18T15:48:02Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.15385416666666665,False,False,0,False,0,0,0,0,True,5,9,5,14
45016,https://github.com/keycloak/keycloak/pull/45016,58512703572,"Quarkus IT (ubuntu-latest, container, true)",https://github.com/keycloak/keycloak/actions/runs/20363183755/job/58512703572,9c2791e3c97fc3c22f146f28248f93cf97467de8,2025-12-19T07:39:22Z,2025-12-19T08:02:26Z,2025-12-18T21:25:59Z,ahus1,False,2,14,12,0.42596064814814816,False,True,45,False,0,0,0,0,True,1,2,1,3
45016,https://github.com/keycloak/keycloak/pull/45016,58512703614,"Quarkus IT (ubuntu-latest, zip-fast, true)",https://github.com/keycloak/keycloak/actions/runs/20363183755/job/58512703614,9c2791e3c97fc3c22f146f28248f93cf97467de8,2025-12-19T07:39:22Z,2025-12-19T08:20:42Z,2025-12-18T21:25:59Z,ahus1,False,2,14,12,0.42596064814814816,False,True,45,False,0,0,0,0,True,1,2,1,3
45016,https://github.com/keycloak/keycloak/pull/45016,58512703638,"Quarkus IT (ubuntu-latest, zip-slow, true)",https://github.com/keycloak/keycloak/actions/runs/20363183755/job/58512703638,9c2791e3c97fc3c22f146f28248f93cf97467de8,2025-12-19T07:39:21Z,2025-12-19T08:18:13Z,2025-12-18T21:25:59Z,ahus1,False,2,14,12,0.42594907407407406,False,True,33,False,0,0,0,0,True,1,2,1,3
45016,https://github.com/keycloak/keycloak/pull/45016,58516203478,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20363183755/job/58516203478,9c2791e3c97fc3c22f146f28248f93cf97467de8,2025-12-19T08:33:59Z,2025-12-19T08:34:09Z,2025-12-18T21:25:59Z,ahus1,False,2,14,12,0.4638888888888889,False,False,0,False,0,0,0,0,True,1,2,1,3
45025,https://github.com/keycloak/keycloak/pull/45025,58520236677,"Java Distribution IT/UT (windows-latest, temurin, 17)",https://github.com/keycloak/keycloak/actions/runs/20365592774/job/58520236677,dfd0d9daf04ffb967115f80ee8eef7e214fa9c13,2025-12-19T09:26:52Z,2025-12-19T09:29:49Z,2025-12-19T09:21:29Z,flyinfish,False,0,14,0,0.003738425925925926,False,True,48,False,0,0,0,0,True,1,16,14,30
45025,https://github.com/keycloak/keycloak/pull/45025,58524677420,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20365592774/job/58524677420,dfd0d9daf04ffb967115f80ee8eef7e214fa9c13,2025-12-19T10:22:31Z,2025-12-19T10:22:41Z,2025-12-19T09:21:29Z,flyinfish,False,0,14,0,0.04238425925925926,False,False,0,False,0,0,0,0,True,1,16,14,30
45012,https://github.com/keycloak/keycloak/pull/45012,58511473759,label,https://github.com/keycloak/keycloak/actions/runs/20362866256/job/58511473759,d31e5ddd9c080e8a5e97fa2dcdc6cc1765f6470b,2025-12-19T07:18:17Z,2025-12-19T07:18:22Z,2025-12-18T16:24:06Z,vaceksimon,False,0,14,0,0.6209606481481481,False,False,0,True,1,36,32,68,True,3,34,8,42
45012,https://github.com/keycloak/keycloak/pull/45012,58450519158,Test remote (fast),https://github.com/keycloak/keycloak/actions/runs/20343723516/job/58450519158,d31e5ddd9c080e8a5e97fa2dcdc6cc1765f6470b,2025-12-18T16:28:37Z,2025-12-18T16:55:19Z,2025-12-18T16:24:06Z,vaceksimon,False,0,22,0,0.003136574074074074,False,True,31,True,1,36,32,68,True,3,34,8,42
