project_name,comment_id,issue_id,label,deletions,insertions,files,num_parrel_issues,num_prior_comments,if_cross_project,num_parrel_commits,num_of_developers,commit_num,type_id,priority_id,is_share_same_emsg,is_share_similar_emsg,num_of_sf_comments,share_same_emsg,is_Incorporates,is_dependent,is_Duplicate,is_Reference,is_Cloners,is_Regression,is_Blocker,is_Supercedes,is_Container,is_Required,is_Problem/Incident,is_Blocked,is_Dependent,is_Completes,is_Child-Issue,is_Dependency,is_Testing,time,day,Time_difference,comment_created_at,created,has_config_files,has_source_code,lines_of_source_code_added,lines_of_source_code_deleted,lines_of_source_code_modified,num_of_modified_source_code_files,lines_of_config_file_added,lines_of_config_file_deleted,lines_of_config_file_modified,num_of_modified_config_files,has_contains_code_patch,lines_of_Test_classes_added,lines_of_Test_classes_deleted,lines_of_Test_classes_modified,lines_of_Test_files,has_contain_Test_files
HADOOP,12477577.0,1053,0,0.0,0.0,0.0,0,10,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172855861,13574.720613425923,0.0235532407386926,Sat 3 Mar 2007 01:17:41 +0000,Wed 28 Feb 2007 22:00:08 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12477586.0,1035,0,0.0,0.0,0.0,0,20,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172862698,13574.79974537037,0.0623148148151813,Sat 3 Mar 2007 03:11:38 +0000,Fri 23 Feb 2007 14:50:45 +0000,0.0,0.0,70.0,25.0,95.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12477595.0,1053,0,0.0,0.0,0.0,0,10,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172869602,13574.87965277778,0.0799074074093368,Sat 3 Mar 2007 05:06:42 +0000,Wed 28 Feb 2007 22:00:08 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12477886.0,1053,0,0.0,0.0,0.0,0,10,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173031072,13576.74851851852,0.0854050925954652,Mon 5 Mar 2007 01:57:52 +0000,Wed 28 Feb 2007 22:00:08 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12477928.0,1035,0,0.0,0.0,0.0,0,20,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173049268,13576.95912037037,0.1390509259254031,Mon 5 Mar 2007 07:01:08 +0000,Fri 23 Feb 2007 14:50:45 +0000,0.0,0.0,70.0,25.0,95.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12478452.0,1067,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173167674,13578.329560185186,0.083703703705396,Tue 6 Mar 2007 15:54:34 +0000,Tue 6 Mar 2007 13:52:13 +0000,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12478664.0,1060,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173202889,13578.737141203705,0.0239351851851097,Wed 7 Mar 2007 01:41:29 +0000,Sat 3 Mar 2007 00:43:13 +0000,0.0,0.0,27.0,19.0,46.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12485973.0,1127,1,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175475304,13605.03824074074,0.0070717592570872,Mon 2 Apr 2007 08:55:04 +0000,Thu 15 Mar 2007 23:11:23 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12486150.0,1105,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175522484,13605.584305555554,0.0010300925896444,Mon 2 Apr 2007 22:01:24 +0000,Fri 9 Mar 2007 19:38:20 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12486830.0,1204,0,0.0,0.0,0.0,0,10,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175708260,13607.73449074074,0.0067245370373711,Thu 5 Apr 2007 01:37:40 +0000,Wed 4 Apr 2007 19:49:21 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12487288.0,1203,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175852739,13609.406701388889,0.0115162037036498,Fri 6 Apr 2007 17:45:39 +0000,Wed 4 Apr 2007 17:39:26 +0000,0.0,0.0,353.0,553.0,906.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12487288.0,1203,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175852739,13609.406701388889,0.0115162037036498,Fri 6 Apr 2007 17:45:39 +0000,Wed 4 Apr 2007 17:39:26 +0000,0.0,0.0,353.0,553.0,906.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12487310.0,1217,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175856087,13609.44545138889,0.0151967592610162,Fri 6 Apr 2007 18:41:27 +0000,Fri 6 Apr 2007 18:13:41 +0000,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12487315.0,1218,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175857439,13609.461099537037,0.0023726851850369,Fri 6 Apr 2007 19:03:59 +0000,Fri 6 Apr 2007 18:57:34 +0000,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488015.0,1204,0,0.0,0.0,0.0,0,10,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176248767,13613.990358796296,0.0246064814818964,Wed 11 Apr 2007 07:46:07 +0000,Wed 4 Apr 2007 19:49:21 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488026.0,1239,0,0.0,0.0,0.0,0,3,0,0,0,0.0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176253020,13614.039583333331,0.0058101851846004,Wed 11 Apr 2007 08:57:00 +0000,Tue 10 Apr 2007 18:12:06 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488046.0,1154,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176258516,13614.103194444446,0.0044444444465625,Wed 11 Apr 2007 10:28:36 +0000,Fri 23 Mar 2007 21:32:14 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488212.0,1239,0,0.0,0.0,0.0,0,3,0,0,0,0.0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176301755,13614.603645833333,0.0001157407405116,Wed 11 Apr 2007 22:29:15 +0000,Tue 10 Apr 2007 18:12:06 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488235.0,1214,0,0.0,0.0,0.0,0,0,1,0,0,0.0,4,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176313234,13614.73650462963,0.010775462964375,Thu 12 Apr 2007 01:40:34 +0000,Thu 5 Apr 2007 22:44:30 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488318.0,1111,0,0.0,0.0,0.0,0,28,0,0,0,0.0,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176341414,13615.062662037037,0.0388888888883229,Thu 12 Apr 2007 09:30:14 +0000,Mon 12 Mar 2007 09:32:50 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488373.0,1111,0,0.0,0.0,0.0,0,28,0,0,0,0.0,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176357420,13615.247916666667,0.0018981481480295,Thu 12 Apr 2007 13:57:00 +0000,Mon 12 Mar 2007 09:32:50 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488389.0,1253,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176360692,13615.285787037035,0.0378703703700011,Thu 12 Apr 2007 14:51:32 +0000,Thu 12 Apr 2007 13:53:27 +0000,0.0,0.0,12.0,5.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488765.0,1154,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176464233,13616.48417824074,0.002615740741021,Fri 13 Apr 2007 19:37:13 +0000,Fri 23 Mar 2007 21:32:14 +0000,0.0,0.0,21.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488772.0,1258,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176466558,13616.511087962965,0.021203703703577,Fri 13 Apr 2007 20:15:58 +0000,Fri 13 Apr 2007 17:44:51 +0000,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488790.0,1154,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176470661,13616.558576388888,0.005717592592191,Fri 13 Apr 2007 21:24:21 +0000,Fri 23 Mar 2007 21:32:14 +0000,0.0,0.0,21.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12488920.0,968,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176589638,13617.935625,0.2417129629629926,Sun 15 Apr 2007 06:27:18 +0000,Thu 1 Feb 2007 18:09:45 +0000,0.0,0.0,747.0,549.0,1296.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12489193.0,1258,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176720985,13619.455844907408,0.0175925925941555,Mon 16 Apr 2007 18:56:25 +0000,Fri 13 Apr 2007 17:44:51 +0000,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
